  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2910   0.00924   0.00348  -0.0163   0.8824   0.0302
  -3.900  -0.2805   0.00919   0.00340  -0.0161   0.8751   0.0309
  -3.800  -0.2698   0.00914   0.00333  -0.0159   0.8674   0.0316
  -3.600  -0.2487   0.00904   0.00316  -0.0155   0.8511   0.0327
  -3.500  -0.2387   0.00891   0.00300  -0.0152   0.8423   0.0339
  -3.400  -0.2281   0.00884   0.00292  -0.0150   0.8327   0.0347
  -3.300  -0.2176   0.00881   0.00285  -0.0148   0.8235   0.0356
  -3.200  -0.2069   0.00877   0.00278  -0.0147   0.8134   0.0364
  -3.100  -0.1962   0.00874   0.00272  -0.0145   0.8039   0.0373
  -3.000  -0.1855   0.00873   0.00266  -0.0143   0.7940   0.0380
  -2.900  -0.1749   0.00865   0.00255  -0.0142   0.7846   0.0393
  -2.800  -0.1644   0.00859   0.00246  -0.0140   0.7751   0.0408
  -2.700  -0.1536   0.00856   0.00241  -0.0138   0.7651   0.0421
  -2.600  -0.1428   0.00854   0.00236  -0.0137   0.7553   0.0434
  -2.500  -0.1320   0.00853   0.00231  -0.0136   0.7445   0.0446
  -2.400  -0.1212   0.00850   0.00224  -0.0134   0.7338   0.0460
  -2.300  -0.1107   0.00845   0.00216  -0.0133   0.7225   0.0483
  -2.200  -0.1000   0.00843   0.00211  -0.0131   0.7109   0.0502
  -2.100  -0.0891   0.00842   0.00207  -0.0130   0.6996   0.0520
  -2.000  -0.0782   0.00842   0.00203  -0.0129   0.6889   0.0535
  -1.900  -0.0676   0.00837   0.00196  -0.0128   0.6779   0.0574
  -1.800  -0.0567   0.00835   0.00192  -0.0127   0.6676   0.0605
  -1.700  -0.0458   0.00835   0.00188  -0.0126   0.6573   0.0630
  -1.600  -0.0351   0.00831   0.00183  -0.0125   0.6465   0.0686
  -1.500  -0.0242   0.00829   0.00180  -0.0124   0.6362   0.0734
  -1.400  -0.0135   0.00826   0.00176  -0.0123   0.6252   0.0811
  -1.200   0.0077   0.00815   0.00167  -0.0120   0.6029   0.1106
  -1.100   0.0151   0.00759   0.00152  -0.0116   0.5923   0.2494
  -1.000   0.0226   0.00707   0.00143  -0.0112   0.5821   0.3779
  -0.900   0.0318   0.00685   0.00138  -0.0109   0.5710   0.4428
  -0.800   0.0412   0.00668   0.00136  -0.0106   0.5602   0.4946
  -0.700   0.0510   0.00654   0.00134  -0.0104   0.5499   0.5397
  -0.600   0.0609   0.00644   0.00132  -0.0101   0.5399   0.5779
  -0.500   0.0710   0.00636   0.00132  -0.0099   0.5293   0.6094
  -0.400   0.0812   0.00630   0.00131  -0.0097   0.5194   0.6373
  -0.300   0.0913   0.00626   0.00131  -0.0095   0.5092   0.6622
  -0.200   0.1016   0.00622   0.00131  -0.0093   0.4988   0.6854
  -0.100   0.1118   0.00618   0.00132  -0.0090   0.4888   0.7096
   0.000   0.1220   0.00616   0.00132  -0.0088   0.4779   0.7306
