  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(3)-418                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.1268   0.00696   0.00197  -0.0711   0.6476   0.4762
  -3.900  -0.1150   0.00696   0.00196  -0.0713   0.6455   0.4808
  -3.800  -0.1031   0.00696   0.00194  -0.0714   0.6434   0.4843
  -3.700  -0.0914   0.00694   0.00192  -0.0716   0.6413   0.4878
  -3.600  -0.0797   0.00693   0.00191  -0.0717   0.6392   0.4912
  -3.500  -0.0681   0.00693   0.00189  -0.0718   0.6371   0.4946
  -3.400  -0.0564   0.00694   0.00188  -0.0719   0.6349   0.4979
  -3.300  -0.0447   0.00697   0.00188  -0.0721   0.6327   0.5012
  -3.200  -0.0328   0.00695   0.00187  -0.0722   0.6312   0.5051
  -3.100  -0.0210   0.00693   0.00186  -0.0724   0.6294   0.5089
  -3.000  -0.0092   0.00692   0.00186  -0.0725   0.6275   0.5122
  -2.900   0.0027   0.00693   0.00185  -0.0727   0.6256   0.5148
  -2.800   0.0145   0.00694   0.00184  -0.0728   0.6236   0.5173
  -2.700   0.0263   0.00696   0.00184  -0.0730   0.6216   0.5194
  -2.600   0.0380   0.00696   0.00183  -0.0731   0.6197   0.5224
  -2.500   0.0495   0.00695   0.00183  -0.0732   0.6177   0.5258
  -2.400   0.0611   0.00697   0.00184  -0.0733   0.6156   0.5293
  -2.300   0.0730   0.00699   0.00185  -0.0734   0.6141   0.5332
  -2.200   0.0850   0.00701   0.00186  -0.0736   0.6125   0.5366
  -2.100   0.0969   0.00701   0.00186  -0.0738   0.6108   0.5398
  -2.000   0.1086   0.00699   0.00186  -0.0739   0.6090   0.5431
  -1.900   0.1203   0.00699   0.00186  -0.0740   0.6071   0.5455
  -1.800   0.1321   0.00700   0.00186  -0.0742   0.6052   0.5472
  -1.700   0.1438   0.00701   0.00186  -0.0743   0.6034   0.5484
  -1.600   0.1555   0.00702   0.00185  -0.0744   0.6016   0.5496
  -1.500   0.1671   0.00704   0.00185  -0.0746   0.5996   0.5507
  -1.400   0.1787   0.00707   0.00185  -0.0747   0.5976   0.5520
  -1.300   0.1907   0.00707   0.00185  -0.0748   0.5964   0.5532
  -1.200   0.2027   0.00708   0.00185  -0.0750   0.5950   0.5545
  -1.100   0.2146   0.00708   0.00185  -0.0752   0.5936   0.5556
  -1.000   0.2264   0.00708   0.00184  -0.0753   0.5921   0.5569
