  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2581   0.00891   0.00315  -0.0415   0.8533   0.0235
  -3.900  -0.2475   0.00880   0.00301  -0.0414   0.8507   0.0240
  -3.800  -0.2367   0.00869   0.00289  -0.0414   0.8477   0.0247
  -3.700  -0.2259   0.00859   0.00277  -0.0414   0.8447   0.0253
  -3.600  -0.2151   0.00850   0.00266  -0.0413   0.8418   0.0259
  -3.500  -0.2043   0.00842   0.00256  -0.0413   0.8391   0.0265
  -3.400  -0.1935   0.00837   0.00247  -0.0413   0.8365   0.0270
  -3.300  -0.1824   0.00830   0.00240  -0.0413   0.8336   0.0274
  -3.200  -0.1714   0.00824   0.00232  -0.0413   0.8306   0.0277
  -3.100  -0.1609   0.00802   0.00204  -0.0412   0.8276   0.0305
  -3.000  -0.1501   0.00792   0.00192  -0.0412   0.8249   0.0329
  -2.900  -0.1393   0.00785   0.00184  -0.0411   0.8222   0.0353
  -2.800  -0.1282   0.00777   0.00176  -0.0412   0.8194   0.0373
  -2.700  -0.1171   0.00772   0.00170  -0.0412   0.8165   0.0389
  -2.600  -0.1062   0.00762   0.00161  -0.0412   0.8136   0.0463
  -2.500  -0.0955   0.00748   0.00154  -0.0412   0.8110   0.0650
  -2.400  -0.0859   0.00709   0.00141  -0.0412   0.8085   0.1436
  -2.300  -0.0765   0.00659   0.00127  -0.0413   0.8058   0.2513
  -2.200  -0.0672   0.00607   0.00114  -0.0413   0.8029   0.3641
  -2.100  -0.0580   0.00557   0.00102  -0.0413   0.8000   0.4772
  -2.000  -0.0478   0.00533   0.00099  -0.0413   0.7973   0.5420
  -1.900  -0.0371   0.00523   0.00097  -0.0413   0.7948   0.5735
  -1.800  -0.0261   0.00517   0.00096  -0.0413   0.7923   0.5957
  -1.700  -0.0151   0.00511   0.00096  -0.0413   0.7896   0.6145
  -1.600  -0.0040   0.00507   0.00095  -0.0413   0.7868   0.6298
  -1.500   0.0072   0.00504   0.00094  -0.0414   0.7841   0.6416
  -1.400   0.0183   0.00503   0.00093  -0.0414   0.7816   0.6530
  -1.300   0.0292   0.00501   0.00093  -0.0413   0.7793   0.6672
  -1.200   0.0404   0.00498   0.00095  -0.0413   0.7767   0.6819
  -1.100   0.0516   0.00497   0.00096  -0.0414   0.7740   0.6938
  -1.000   0.0626   0.00495   0.00097  -0.0413   0.7713   0.7028
  -0.900   0.0739   0.00495   0.00096  -0.0414   0.7688   0.7094
