  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0610 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.0809   0.00729   0.00271  -0.0925   0.9805   0.2503
  -3.900  -0.0657   0.00706   0.00263  -0.0936   0.9804   0.2909
  -3.800  -0.0505   0.00681   0.00255  -0.0948   0.9803   0.3381
  -3.700  -0.0348   0.00654   0.00247  -0.0961   0.9803   0.3934
  -3.600  -0.0189   0.00624   0.00239  -0.0975   0.9804   0.4519
  -3.500  -0.0030   0.00598   0.00234  -0.0988   0.9805   0.5109
  -3.400   0.0125   0.00582   0.00231  -0.0999   0.9801   0.5516
  -3.300   0.0278   0.00572   0.00229  -0.1008   0.9795   0.5778
  -3.200   0.0433   0.00565   0.00225  -0.1017   0.9788   0.5920
  -3.100   0.0596   0.00557   0.00219  -0.1028   0.9780   0.6033
  -3.000   0.0762   0.00549   0.00213  -0.1039   0.9773   0.6114
  -2.900   0.0923   0.00542   0.00207  -0.1049   0.9765   0.6190
  -2.800   0.1077   0.00537   0.00200  -0.1058   0.9755   0.6243
  -2.700   0.1224   0.00531   0.00197  -0.1065   0.9745   0.6291
  -2.600   0.1370   0.00527   0.00195  -0.1072   0.9735   0.6336
  -2.500   0.1516   0.00524   0.00192  -0.1079   0.9724   0.6380
  -2.400   0.1623   0.00523   0.00190  -0.1077   0.9696   0.6413
  -2.300   0.1741   0.00521   0.00188  -0.1077   0.9669   0.6446
  -2.200   0.1863   0.00518   0.00187  -0.1078   0.9645   0.6481
  -2.100   0.1986   0.00516   0.00186  -0.1080   0.9621   0.6517
  -2.000   0.2113   0.00514   0.00185  -0.1082   0.9599   0.6553
  -1.900   0.2242   0.00514   0.00183  -0.1085   0.9578   0.6588
  -1.800   0.2371   0.00512   0.00182  -0.1088   0.9553   0.6626
  -1.700   0.2474   0.00512   0.00184  -0.1084   0.9508   0.6659
  -1.600   0.2584   0.00511   0.00183  -0.1082   0.9454   0.6685
  -1.500   0.2700   0.00511   0.00181  -0.1081   0.9397   0.6709
  -1.400   0.2810   0.00511   0.00180  -0.1080   0.9338   0.6727
  -1.300   0.2922   0.00512   0.00180  -0.1079   0.9282   0.6743
  -1.200   0.3036   0.00513   0.00179  -0.1078   0.9231   0.6758
  -1.100   0.3149   0.00515   0.00179  -0.1077   0.9179   0.6773
  -1.000   0.3262   0.00516   0.00179  -0.1076   0.9120   0.6789
  -0.900   0.3373   0.00516   0.00178  -0.1075   0.9059   0.6807
  -0.800   0.3484   0.00517   0.00180  -0.1074   0.8992   0.6827
  -0.700   0.3594   0.00519   0.00181  -0.1072   0.8907   0.6845
  -0.600   0.3704   0.00523   0.00183  -0.1070   0.8827   0.6866
  -0.500   0.3813   0.00527   0.00184  -0.1068   0.8729   0.6888
  -0.400   0.3923   0.00532   0.00187  -0.1067   0.8624   0.6910
  -0.300   0.4032   0.00538   0.00188  -0.1065   0.8495   0.6932
  -0.200   0.4140   0.00545   0.00189  -0.1063   0.8331   0.6948
  -0.100   0.4245   0.00555   0.00190  -0.1060   0.8109   0.6960
   0.000   0.4347   0.00568   0.00191  -0.1057   0.7835   0.6972
   0.100   0.4443   0.00585   0.00193  -0.1052   0.7398   0.6986
   0.200   0.4527   0.00618   0.00198  -0.1046   0.6730   0.6998
   0.300   0.4609   0.00661   0.00209  -0.1041   0.5937   0.7008
   0.400   0.4698   0.00701   0.00220  -0.1037   0.5223   0.7018
   0.500   0.4791   0.00736   0.00230  -0.1034   0.4575   0.7029
   0.600   0.4886   0.00771   0.00240  -0.1031   0.3981   0.7039
   0.700   0.4987   0.00797   0.00249  -0.1030   0.3519   0.7049
   0.800   0.5089   0.00822   0.00257  -0.1029   0.3104   0.7059
   0.900   0.5191   0.00846   0.00265  -0.1027   0.2694   0.7069
   1.000   0.5295   0.00868   0.00273  -0.1026   0.2338   0.7078
   1.100   0.5401   0.00887   0.00280  -0.1026   0.2055   0.7086
   1.200   0.5507   0.00907   0.00288  -0.1025   0.1771   0.7094
   1.300   0.5613   0.00926   0.00295  -0.1024   0.1521   0.7103
   1.400   0.5722   0.00941   0.00302  -0.1024   0.1336   0.7111
