# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,SOMXDSHQKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.186912459913730622e+00, 0.000000000000000000e+00, -3.831024826889082441e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
3.910358439182840762e+00, 0.000000000000000000e+00, -6.216989137655073126e-03, 1.000000000000000000e+00, 1.344569421619705718e-01
3.635406498579359713e+00, 0.000000000000000000e+00, -5.421778817099346878e-03, 1.000000000000000000e+00, 2.626163683271979243e-01
3.365746583812279091e+00, 0.000000000000000000e+00, -3.172592869902740587e-02, 1.000000000000000000e+00, 3.888389264268026779e-01
3.101291736326078130e+00, 0.000000000000000000e+00, -7.237604357879742767e-02, 1.000000000000000000e+00, 5.134652470655552969e-01
2.839706786855486165e+00, 0.000000000000000000e+00, -1.137372094993293337e-01, 1.000000000000000000e+00, 6.368198007681353801e-01
2.579447331776915764e+00, 0.000000000000000000e+00, -1.499556047542071890e-01, 1.000000000000000000e+00, 7.592144007174654874e-01
2.319714896098131085e+00, 0.000000000000000000e+00, -1.789841536155046264e-01, 1.000000000000000000e+00, 8.809514340386629394e-01
2.059722905142789884e+00, 0.000000000000000000e+00, -1.963846260047951431e-01, 1.000000000000000000e+00, 1.002326894541174962e+00
1.799458876635810833e+00, 0.000000000000000000e+00, -2.055960127316619479e-01, 1.000000000000000000e+00, 1.123633282579136639e+00
1.538564116894725053e+00, 0.000000000000000000e+00, -2.085082209357176364e-01, 1.000000000000000000e+00, 1.245162432916468109e+00
1.276556022941354840e+00, 0.000000000000000000e+00, -2.059870477403524802e-01, 1.000000000000000000e+00, 1.367208328924608196e+00
1.012907260097267059e+00, 0.000000000000000000e+00, -1.979419243861835209e-01, 1.000000000000000000e+00, 1.490069960957262296e+00
7.471035585307969074e-01, 0.000000000000000000e+00, -1.837858979609917065e-01, 1.000000000000000000e+00, 1.614054288311943308e+00
4.788293757033246223e-01, 0.000000000000000000e+00, -1.607450128561498381e-01, 1.000000000000000000e+00, 1.739479367887511785e+00
