TIPO,seats,W_p,W_f,W_MTO,W_OE,n_engine,Thrust,Tot_Thrust
fokker-100,110,10478,9700,44450,24272,2,67600,135.2
caravelle,140,12300,11700,52000,28000,2,57000,114
AN-148,85,9360,10100,41950,22490,2,63000,126
EMB145,50,4750,2865,19200,11585,2,31300,62.6
EMB 195,106,10100,9590,52290,32600,2,82300,164.6
A321-200,220,17670,23330,89000,48000,2,142000,284
B717-200,110,10070,9965,51710,31675,2,97900,195.8
B727-200,189,18000,15770,78100,44330,3,64000,192
CRJ-900,90,8545,7940,38330,21845,2,59400,118.8
CRJ-1000,102,9690,8762,41640,23188,2,60600,121.2
BaE146-200,100,9510,8874,42184,23800,4,31000,124
